diameter_km,lon,lat,tag
7.48018711569,103.64880819,-58.9153064285,standard
6.78710963952,109.085532454,-58.9613966378,standard
7.14331290827,113.439136801,-59.791020404,standard
13.7780369535,119.801506101,-58.9498740855,standard
7.74424366835,120.419883075,-58.8039217562,standard
7.02284406216,118.580115556,-59.7276463663,standard
14.425596959,122.806971828,-58.7232638901,standard
5.51249057552,128.650826274,-58.6752532554,standard
7.37537697712,127.629159969,-58.8404098385,standard
5.04770861743,128.804460304,-58.9882825932,standard
5.1828849129,134.636792198,-59.5605693578,standard
8.17903865267,134.371773495,-58.9633170632,standard
5.79924252074,137.546236656,-58.7194230393,standard
9.18751557514,138.153091077,-59.7122829632,standard
13.2560970287,143.789539582,-59.5759327609,standard
8.68990544603,142.934950285,-59.466468514,standard
6.64383772245,144.567311862,-59.7065216871,standard
5.18066656756,147.313520163,-58.5293009262,standard
12.2319314774,147.446029514,-59.6777153063,standard
9.12558977364,152.786732509,-59.257142147,standard
6.5153959049,149.704449767,-58.807762607,standard
9.91525983573,158.93209374,-58.8212055847,standard
12.7200305263,159.65225326,-58.9229881301,standard
5.17068568376,162.386939008,-59.4242191555,standard
17.7841384887,164.676086066,-58.7808766516,standard
9.69816725814,165.837943424,-58.682934957,standard
5.80088164265,165.536436639,-59.9638586886,standard
5.15495087783,171.474391928,-58.3391788131,standard
10.6485966468,173.137480311,-58.2873273277,standard
5.4093034654,172.469172278,-59.9542565617,standard
7.93480708408,170.435441795,-58.7040596362,standard
9.27935002665,90.0656744435,57.842653469,standard
5.48748032393,90.5871978354,59.9121982021,standard
11.4135076656,92.1875752547,57.9748992208,standard
11.048897881,93.0357556985,57.7359199733,standard
5.77419345163,94.2952938633,59.7985851172,standard
8.75588078307,94.4911784924,58.9641165975,standard
5.99268258526,95.1611039237,58.9112277476,standard
15.4094594533,96.5577613289,58.5821415708,standard
5.42563313398,94.5734500366,57.2050726286,standard
6.26204686361,96.8594236576,57.706537279,standard
8.03875663555,92.4108837318,55.4734525078,standard
8.70895580261,90.2685628722,49.7960498266,standard
14.3460299802,90.9621124643,51.0921038905,standard
5.70183620389,90.0891504294,52.9478176639,standard
6.52883142565,90.2792740628,53.4539214203,standard
7.38931839377,93.2114624926,53.3280649306,standard
8.18894175326,93.2810852316,52.5327590278,standard
5.16656343526,92.9436827274,52.3640577756,standard
15.4427275315,93.2676962434,51.2393827614,standard
15.5845220615,93.6747214866,51.0171255563,standard
10.6969307112,93.979990419,50.5136995975,standard
8.79633727799,94.119235897,51.520551515,standard
7.31834432269,94.5128721519,52.8674837344,standard
9.7733002144,96.2668296145,53.526221957,standard
16.8702863794,95.8892601455,51.3786282394,standard
5.54585342367,97.3754378428,49.970106674,standard
16.8027851006,98.7652148246,48.7784867185,standard
15.1935875789,96.4703422361,47.710045455,standard
